time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-06T13:00:58.349Z,-17.2115,171.6429,10,5.2,mww,39,75,6.14,0.54,us,us6000nwwa,2024-10-06T13:20:31.040Z,"Vanuatu region",earthquake,9.93,1.869,0.073,18,reviewed,us,us
2024-10-06T12:08:40.597Z,39.0052,25.8344,10,4.6,mb,26,48,0.837,0.91,us,us6000nww7,2024-10-07T07:28:56.784Z,"20 km SSW of Eresós, Greece",earthquake,4.88,1.884,0.165,11,reviewed,us,us
2024-10-06T11:08:56.917Z,53.2876,-167.0436,47.192,4.5,mwr,53,164,0.516,0.68,us,us6000nww1,2024-10-06T19:23:54.444Z,"73 km SSW of Unalaska, Alaska",earthquake,5.83,5.639,0.08,15,reviewed,us,us
2024-10-06T11:05:16.761Z,52.9501,153.5981,441.914,4.1,mb,65,165,3.054,0.48,us,us6000nww0,2024-10-06T11:56:03.040Z,"255 km NW of Ozernovskiy, Russia",earthquake,18.06,12.454,0.068,58,reviewed,us,us
2024-10-06T11:04:32.570Z,34.0196667,-117.596,6.61,2.51,ml,133,21,0.01644,0.17,ci,ci40752839,2024-10-07T19:36:28.270Z,"5 km SE of Ontario, CA",earthquake,0.09,0.25,0.169,24,reviewed,ci,ci
2024-10-06T10:51:08.410Z,34.0236667,-117.5923333,5.17,3.99,mw,183,12,0.01565,0.25,ci,ci40752807,2024-10-08T14:04:24.062Z,"5 km SE of Ontario, CA",earthquake,0.12,0.3,,6,reviewed,ci,ci
2024-10-06T10:19:13.621Z,-40.3183,176.5809,21.42,4.7,mb,35,79,0.442,1.22,us,us6000nwva,2024-10-07T01:45:01.878Z,"42 km ESE of Dannevirke, New Zealand",earthquake,3.85,4.315,0.167,13,reviewed,us,us
2024-10-06T10:06:10.693Z,42.2457,144.5047,35,4.4,mb,43,137,1.029,0.54,us,us6000nwv8,2024-10-07T02:05:45.040Z,"81 km S of Kushiro, Japan",earthquake,6.9,1.94,0.093,33,reviewed,us,us
2024-10-06T09:38:03.829Z,69.338,-144.9269,0,2.9,ml,,,,0.74,ak,ak024cv828ah,2024-10-06T12:54:39.040Z,"101 km SSW of Kaktovik, Alaska",earthquake,,0.7,,,automatic,ak,ak
2024-10-06T08:34:13.638Z,53.3398,-167.0986,57.264,4.7,mb,48,163,0.473,0.96,us,us6000nwuu,2024-10-06T09:03:39.728Z,"70 km SSW of Unalaska, Alaska",earthquake,4.31,6.148,0.034,263,reviewed,us,us
2024-10-06T08:07:44.720Z,38.8333320617676,-122.814498901367,1.75999999046326,2.99,md,83,24,0.01051,0.09,nc,nc75071071,2024-10-06T20:35:43.425Z,"8 km NNW of The Geysers, CA",earthquake,0.12,0.170000002,0.12,100,automatic,nc,nc
2024-10-06T07:48:57.780Z,18.0305,-66.7666666666667,12.17,2.78,md,12,136,0.1531,0.14,pr,pr71461913,2024-10-06T08:06:24.260Z,"1 km N of Magas Arriba, Puerto Rico",earthquake,0.41,0.47,0.115538409682479,6,reviewed,pr,pr
2024-10-06T06:13:55.023Z,28.0963,139.7675,419.377,4.7,mb,106,31,2.365,0.66,us,us6000nwuh,2024-10-06T07:20:30.040Z,"Bonin Islands, Japan region",earthquake,10.14,7.696,0.026,462,reviewed,us,us
2024-10-06T06:08:19.468Z,38.3569,-115.7821,7.8,3.3,ml,13,131.07999999999998,0.713,0.1534,nn,nn00885594,2024-10-06T18:41:05.657Z,"79 km N of Rachel, Nevada",earthquake,,2.1,0.21,8,reviewed,nn,nn
2024-10-06T06:01:10.770Z,17.903,-66.8708333333333,12.21,2.86,md,7,200,0.1778,0.3,pr,pr71461898,2024-10-06T06:11:45.350Z,"8 km SSE of Guánica, Puerto Rico",earthquake,1.14,1.52,0.199023974365116,7,reviewed,pr,pr
2024-10-06T05:26:36.812Z,12.4167,123.6419,12.022,4.8,mb,46,127,5.646,0.66,us,us6000nwua,2024-10-06T06:06:17.040Z,"5 km NNE of Masbate, Philippines",earthquake,9.91,3.182,0.097,33,reviewed,us,us
2024-10-06T04:13:24.410Z,18.799,-64.3478333333333,21.62,3.42,md,7,321,0.4569,0.16,pr,pr71461883,2024-10-06T04:27:44.550Z,"69 km NE of Cruz Bay, U.S. Virgin Islands",earthquake,1.86,14.67,0.0978950510217833,6,reviewed,pr,pr
2024-10-06T03:57:31.888Z,53.1106,-166.9331,25.6,4.1,ml,,,,0.65,ak,ak024cv4lrg5,2024-10-06T19:17:00.911Z,"89 km SSW of Unalaska, Alaska",earthquake,,1.9,,,reviewed,ak,ak
2024-10-06T03:33:45.415Z,53.1145,-167.123,51.913,4.1,mb,47,165,0.559,0.7,us,us6000nwtw,2024-10-06T19:11:37.885Z,"93 km SSW of Unalaska, Alaska",earthquake,6.44,10.098,0.082,43,reviewed,us,us
2024-10-06T03:33:41.010Z,42.472,-108.91,34.59,2.54,ml,18,243,0.5619,0.2,uu,uu80084026,2024-10-08T05:18:13.026Z,"14 km W of Atlantic City, Wyoming",earthquake,2.13,31.61,0.469380687896367,2,reviewed,uu,uu
